,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
58,58,2020-08-14,224000.0,-4000.0,462365,148029,148308,-279,48892,131122,-82230,82509,265444,182935,57.41005482681432,14.09401373611498,39.56506223438193,-4.197503264887246,17.844992592432387,-0.06034193764666443,-17.78465065478572
59,59,2020-08-13,228000.0,-1500.0,983401,352588,338465,14123,115203,199146,-83943,69820,515610,445790,52.431307269364176,-4.978747557450133,45.33145685229118,5.766394617909256,7.099850417072995,1.4361384623363205,-8.535988879409315
60,60,2020-08-12,229500.0,-9500.0,604103,141425,220607,-79182,71288,154580,-83292,162474,391390,228916,64.78862048359304,12.357313214228851,37.89353802248954,-7.437918829801638,26.895082461103488,-13.107367452239105,-13.787715008864382
61,61,2020-08-11,239000.0,1000.0,626321,188158,185256,2902,70388,158048,-87660,84758,367775,283017,58.71988964125424,-6.068730842338795,45.18721230806568,7.293674285576131,13.532677333188573,0.46334068313213195,-13.996018016320704
62,62,2020-08-10,238000.0,14500.0,1265411,406267,331933,74334,145225,183196,-37971,-36363,713919,750282,56.417954324721386,-2.3019353165328624,59.291566139380805,14.104353831315132,-2.873611814659427,5.874296967546512,-3.0006851528870855
63,63,2020-08-07,223500.0,1000.0,635205,231494,183579,47915,59326,103289,-43963,-3952,344385,348337,54.21635534984769,-2.20159897487369,54.838516699333276,-4.453049440047522,-0.6221613494855991,7.5432340740390895,-6.921072724553491
64,64,2020-08-06,222500.0,10000.0,831406,324758,139028,185730,113074,78363,34711,-220441,393574,614015,47.33836416864926,-6.877991181198438,73.85260630786884,19.01408960853556,-26.514242139219586,22.339266254994552,4.174975884225035
65,65,2020-08-05,212500.0,4500.0,435388,151471,140267,11204,89001,100974,-11973,769,194916,194147,44.76834455703879,-2.570019611610469,44.59172048839197,-29.26088581947688,0.17662406864681618,2.573336885720323,-2.7499609543671393
66,66,2020-08-04,208000.0,2000.0,371368,121331,95968,25363,65509,128358,-62849,37486,184528,147042,49.68871846793477,4.9203739108959885,39.59468774907909,-4.9970327393128775,10.09403071885569,6.829613752396544,-16.923644471252235
67,67,2020-08-03,206000.0,500.0,292704,77332,113107,-35775,91844,113466,-21622,57397,123528,66131,42.202361429977046,-7.486357037957723,22.59313162785613,-17.001556121222958,19.609229802120915,-12.222244998360118,-7.386984803760796
68,68,2020-07-31,205500.0,-7500.0,386250,72674,181375,-108701,43568,113505,-69937,178638,270008,91370,69.90498381877023,27.70262238879319,23.655663430420713,1.0625318025645851,46.24932038834952,-28.142653721682848,-18.106666666666666
69,69,2020-07-30,213000.0,1000.0,399720,155571,131602,23969,65954,73038,-7084,-16885,178195,195080,44.57995596917843,-25.325027849591805,48.80416291403983,25.148499483619123,-4.224206944861403,5.996447513259281,-1.7722405683978786
70,70,2020-07-29,212000.0,8000.0,557688,230901,124388,106513,136292,168134,-31842,-74671,190495,265166,34.15798797894163,-10.421967990236801,47.547374159027996,-1.25678875501184,-13.389386180086357,19.09903028216494,-5.709644102078582
71,71,2020-07-28,204000.0,500.0,333839,74649,166435,-91786,69630,76925,-7295,99081,189560,90479,56.781861915474224,22.623873936532608,27.102585377981605,-20.444788781046388,29.679276537492623,-27.49409146325025,-2.185185074242374
72,72,2020-07-27,203500.0,0.0,394211,135921,169442,-33521,75436,94683,-19247,52768,182854,130086,46.38480407700445,-10.397057838469783,32.999079173336106,5.896493795354504,13.38572490366834,-8.503314214976244,-4.882410688692096
73,73,2020-07-24,203500.0,-8000.0,566590,174686,263670,-88984,57460,129943,-72483,161467,334444,172977,59.02751548738947,12.642711410385024,30.52948340069539,-2.469595772640716,28.49803208669408,-15.705183642492807,-12.792848444201274
74,74,2020-07-23,211500.0,500.0,511415,199734,216375,-16641,90718,153480,-62762,79403,220963,141560,43.20620239922568,-15.821313088163793,27.680064135780142,-2.849419264915248,15.526138263445539,-3.253913162500122,-12.272225100945416
75,75,2020-07-22,211000.0,-6000.0,386754,128134,152083,-23949,51223,107392,-56169,80118,207397,127279,53.62504330918362,10.418840909957936,32.90954973962778,5.2294856038476345,20.715493569555843,-6.1923082889899,-14.523185280565942
76,76,2020-07-21,217000.0,-7000.0,558469,185694,169231,16463,83320,232430,-149110,132647,289455,156808,51.830092628238994,-1.7949506809446305,28.07819234371111,-4.831357395916665,23.751900284527878,2.947880723907683,-26.69978100843556
77,77,2020-07-20,224000.0,3500.0,434885,216765,147001,69764,53505,76373,-22868,-46896,164615,211511,37.852535727836106,-13.977556900402886,48.63607620405396,20.557883860342837,-10.783540476217851,16.04194212263012,-5.25840164641227
78,78,2020-07-17,220500.0,7500.0,436200,172367,121609,50758,83546,75428,8118,-58876,180287,239163,41.331270059605686,3.4787343317695867,54.82874828060522,6.192672076551276,-13.497478220999541,11.636405318661165,1.861072902338377
79,79,2020-07-16,213000.0,-2500.0,402205,159094,140213,18881,92572,107736,-15164,-3717,150539,154256,37.42842580276228,-3.9028442568434163,38.35258139505973,-16.476166885545496,-0.9241555922974602,4.6943722728459365,-3.7702166805484767
80,80,2020-07-15,215500.0,5500.0,815163,335446,175035,160411,162755,194663,-31908,-128503,316962,445465,38.88326629152697,1.4548404887647024,54.64735273804134,16.294771342981612,-15.764086446514378,19.678395609221713,-3.914309162707336
81,81,2020-07-14,210000.0,5500.0,549007,161253,143429,17824,140606,148686,-8080,-9744,247148,256892,45.017276646745856,6.1340103552188765,46.792117404696114,-7.855235333345227,-1.774840757950263,3.2465888413080344,-1.4717480833577714
82,82,2020-07-13,204500.0,12000.0,416475,194764,81503,113261,65148,31157,33991,-147252,156563,303815,37.59241250975449,-7.42486413699136,72.94915661204155,26.157039207345434,-35.35674410228705,27.195149768893693,8.161594333393362
83,83,2020-07-10,192500.0,-5000.0,280706,77700,139516,-61816,32042,65319,-33277,95093,170964,75871,60.90500381181735,23.312591302062863,27.028634941896506,-45.92052167014504,33.876368869920846,-22.02161692304404,-11.854751946876803
84,84,2020-07-09,197500.0,-1500.0,299020,151118,132451,18667,42087,83721,-41634,22967,105815,82848,35.387265065881884,-25.51773874593548,27.70650792589125,0.6778729839947424,7.680757139990636,6.242726239047555,-13.923483379038192
85,85,2020-07-08,199000.0,-2000.0,271449,114649,84475,30174,69859,134343,-64484,34310,86941,52631,32.028484171980736,-3.3587808939011334,19.38890915052183,-8.317598775369415,12.639575021458912,11.115900224351536,-23.755475245810448
86,86,2020-07-07,201000.0,-3500.0,352141,106981,93407,13574,101433,144472,-43039,29465,143727,114262,40.815184826532544,8.786700654551808,32.447797899136994,13.058888748615164,8.367386927395561,3.8547059274551954,-12.222092854850755
87,87,2020-07-06,204500.0,9000.0,336074,151800,66611,85189,41736,31177,10559,-95748,142538,238286,42.41268292102335,1.5974980944907955,70.902836875212,38.455038976075,-28.49015395418866,25.348286389307116,3.1418675648815437
88,88,2020-07-03,195500.0,1000.0,165056,80201,60401,19800,14395,47238,-32843,13043,70460,57417,42.688542070569994,0.2758591495466405,34.78637553315239,-36.116461342059615,7.902166537417604,11.995928654517254,-19.898095191934857
89,89,2020-07-02,194500.0,500.0,253093,97881,58862,39019,88406,130853,-42447,3428,66806,63378,26.39583078157041,-16.292711288999573,25.04138794830359,-9.744987584848797,1.3544428332668228,15.416862576207166,-16.77130540947399
90,90,2020-07-01,194000.0,2000.0,173150,75583,54982,20601,30797,33863,-3066,-17535,66770,84305,38.5619405140052,12.16610973243479,48.68899797863124,23.647610030327648,-10.127057464626047,11.897776494369044,-1.7707190297429973
91,91,2020-06-30,192000.0,0.0,253317,90653,57959,32694,81282,115078,-33796,1102,81382,80280,32.12654500092769,-6.435395513077508,31.69151695306671,-16.997481025564532,0.43502804786098054,12.9063584362676,-13.341386484128583
92,92,2020-06-29,192000.0,-6500.0,212889,65095,90757,-25662,21117,48147,-27030,52692,126677,73985,59.50377896462476,27.377233963697066,34.752852425442356,3.0613354723756534,24.75092653918239,-12.054169074024491,-12.6967574651579
93,93,2020-06-26,198500.0,4500.0,295836,90617,94752,-4135,57234,62620,-5386,9521,147985,138464,50.02264768317581,-9.481131281448944,46.804310496356095,12.051458070913725,3.2183371868197246,-1.3977338795819305,-1.8206033072377938
94,94,2020-06-25,194000.0,-11000.0,392726,82161,176895,-94734,56654,82977,-26323,121057,253911,132854,64.65347341403421,14.630825730858398,33.82867444477829,-12.975636051577794,30.82479896925592,-24.122161507004883,-6.702637462251035
95,95,2020-06-24,205000.0,12000.0,734730,231189,136907,94282,112287,158637,-46350,-47932,391254,439186,53.25139847290842,-11.40207494112579,59.77515549929906,25.94648105452077,-6.523757026390647,12.83219686143209,-6.308439835041444
96,96,2020-06-23,193000.0,9000.0,579311,219641,131474,88167,101926,176962,-75036,-13131,257744,270875,44.491473491785925,-8.759924981122488,46.758131642589206,-13.017023856709848,-2.266658150803282,15.219286359140428,-12.952628208337146
97,97,2020-06-22,184000.0,-1500.0,204828,51990,86831,-34841,45559,68598,-23039,57880,107279,49399,52.37516355185814,7.883690060072205,24.117308180522194,-22.64082346206702,28.25785537133595,-17.009881461518933,-11.247973909817016
98,98,2020-06-19,185500.0,-2500.0,319737,88171,78068,10103,104453,199517,-95064,84961,127113,42152,39.75548654050047,-12.619677011357664,13.183335053497093,-10.933973127025098,26.57215148700338,3.159784447843071,-29.73193593484645
99,99,2020-06-18,188000.0,-2000.0,282466,82586,91454,-8868,87837,122671,-34834,43702,112043,68341,39.66601290066769,-0.08947363983278223,24.19441631913221,11.011081265635118,15.471596581535477,-3.1394928947200724,-12.332103686815405
100,100,2020-06-17,190000.0,-5000.0,316584,73831,121109,-47278,113264,126545,-13281,60559,129489,68930,40.90194071715564,1.2359278164879512,21.773052333661838,-2.4213639854703715,19.128888383493795,-14.933793242867612,-4.195095140626185
101,101,2020-06-16,195000.0,8000.0,322656,140129,98743,41386,50963,67507,-16544,-24842,131564,156406,40.77531488644253,-0.12662583071310962,48.47453634830903,26.701484014647193,-7.699221461866508,12.826663691361698,-5.12744222949519
102,102,2020-06-15,187000.0,-19000.0,594810,115344,260292,-144948,56807,196078,-139271,284219,422659,138440,71.0578167818295,30.282501895386968,23.274659134849788,-25.19987721345925,47.78315764697971,-24.368790033792305,-23.414367613187405
103,103,2020-06-12,206000.0,0.0,440380,228164,185428,42736,63719,109177,-45458,2722,148497,145775,33.72019619419592,-37.33762058763357,33.1020936463963,9.827434511546514,0.6181025477996276,9.704346246423544,-10.32244879422317
104,104,2020-06-11,206000.0,-5000.0,624141,104762,338387,-233625,317915,209683,108232,125393,201464,76071,32.278603712943074,-1.4415924812528471,12.188111340226008,-20.91398230617029,20.090492372717062,-37.431445779078764,17.340953406361702
105,105,2020-06-10,211000.0,-3500.0,338548,96015,79303,16712,91587,201112,-109525,92813,150946,58133,44.58629204721339,12.307688334270315,17.171272611269302,4.983161271043294,27.415019435944092,4.936375344116639,-32.35139478006073
106,106,2020-06-09,214500.0,-3000.0,244881,97044,123684,-26640,49108,59233,-10125,36765,98729,61964,40.317133628170424,-4.269158419042974,25.303718949203898,8.1324463379346,15.013414678966518,-10.878753353669742,-4.1346613252967765
