,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
95,2020-06-24,103000.0,4300.0,1813817,579162,361417,217745,426200,184107,242093,-459838,,808455,1268293,44.57202683622438,-40.39809173968439,69.92397799778037,34.402844301806454
96,2020-06-23,98700.0,200.0,1095698,338959,373308,-34349,97195,127893,-30698,65047,,659544,594497,60.193958554273166,15.621931718048785,54.25737748905264,-15.666600508727733
97,2020-06-22,98500.0,-1500.0,921187,133528,370191,-236663,112189,169351,-57162,293825,,675470,381645,73.3260456345997,13.132087080326528,41.429698855932614,-12.827678633120023
98,2020-06-19,100000.0,0.0,903928,204223,247912,-43689,211804,330513,-118709,162398,,487901,325503,53.97564850297811,-19.350397131621584,36.00983706666903,-5.419861789263585
99,2020-06-18,100000.0,-500.0,1155455,420282,395658,24624,196690,205951,-9261,-15363,,538483,553846,46.60354578932109,-7.372102713657021,47.933151875235296,11.923314808566268
100,2020-06-17,100500.0,-1000.0,1326645,199597,353220,-153623,238076,405466,-167390,321013,,888972,567959,67.00903406713928,20.405488277818193,42.81167908521119,-5.121472790024107
101,2020-06-16,101500.0,4500.0,1389765,326383,387353,-60970,214973,188094,26879,34091,,848409,814318,61.04693959050631,-5.96209447663297,58.59393494583617,15.782255860624979
102,2020-06-15,97000.0,-6500.0,2022775,336664,736351,-399687,235771,264396,-28625,428312,,1450340,1022028,71.70051043739417,10.65357084688786,50.52603477895465,-8.067900166881515
103,2020-06-12,103500.0,-5000.0,1977558,238705,492970,-254265,280068,282851,-2783,257048,,1458785,1201737,73.76698938792187,2.0664789505276957,60.768735986504566,10.242701207549914
104,2020-06-11,108500.0,-3000.0,2376313,462098,981434,-519336,643139,623121,20018,499318,,1271076,771758,53.48941827107792,-20.277571116843944,32.47711896538882,-28.291617021115748
105,2020-06-10,111500.0,-500.0,1377837,377146,455365,-78219,223308,153272,70036,8183,,777383,769200,56.420534504444284,2.9311162333663603,55.82663261329171,23.34951364790289
106,2020-06-09,112000.0,-1000.0,1504910,472751,557620,-84869,232290,225077,7213,77656,,799869,722213,53.150620302875254,-3.26991420156903,47.99044461130566,-7.836188001986045
107,2020-06-08,113000.0,2000.0,1640392,505324,551423,-46099,357523,114307,243216,-197117,,777545,974662,47.39995074348083,-5.750669559394424,59.41640778545616,11.425963174150496
108,2020-06-05,111000.0,2500.0,2128094,930619,485326,445293,259742,308208,-48466,-396827,,937733,1334560,44.06445391979866,-3.3354968236821705,62.711515562752396,3.295107777296238
109,2020-06-04,108500.0,0.0,2823041,895712,817571,78141,425137,407631,17506,-95647,,1502192,1597839,53.21183787270536,9.1473839529067,56.59992185731628,-6.111593705436114
110,2020-06-03,108500.0,6000.0,3118795,1133919,609113,524806,564919,328577,236342,-761148,,1419957,2181105,45.52902643488911,-7.682811437816248,69.93422138999196,13.33429953267568
111,2020-06-02,102500.0,2500.0,2155405,676954,408969,267985,382504,121809,260695,-528680,,1095947,1624627,50.8464534507436,5.317427015854491,75.37455837765988,5.440336987667919
112,2020-06-01,100000.0,2000.0,1908428,554888,357467,197421,262714,285892,-23178,-174243,,1090826,1265069,57.15835231929106,6.311898868547459,66.2885369529267,-9.086021424733175
113,2020-05-29,98000.0,800.0,2010414,586361,425490,160871,629778,532901,96877,-257748,,794275,1052023,39.5080316790472,-17.650320640243862,52.32867459140257,-13.959862361524138
114,2020-05-28,97200.0,-900.0,1602694,499344,521231,-21887,261052,255654,5398,16489,,842298,825809,52.55513529095386,13.047103611906657,51.526305083815124,-0.8023695075874429
115,2020-05-27,98100.0,300.0,1620664,466025,385662,80363,178016,191330,-13314,-67049,,976623,1043672,60.26067093487607,7.705535643922211,64.39780238223346,12.87149729841834
116,2020-05-26,97800.0,1800.0,2006216,593522,376363,217159,183243,245680,-62437,-154722,,1229451,1384173,61.28208527895301,1.0214143440769448,68.99421597674427,4.596413594510807
